"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 13 22:55:25 CST 2021","Wed Jan 13 22:55:33 CST 2021","7802","scripts","test_search_setting","Test_Search_Setting","","","test_002[search_test_002-1234]",""
"passed","Wed Jan 13 22:55:13 CST 2021","Wed Jan 13 22:55:14 CST 2021","529","scripts","test_search_setting","Test_Search_Setting","","","test_001",""
"passed","Wed Jan 13 22:55:14 CST 2021","Wed Jan 13 22:55:25 CST 2021","11579","scripts","test_search_setting","Test_Search_Setting","","","test_002[search_test_001-你好]",""
"passed","Wed Jan 13 22:55:33 CST 2021","Wed Jan 13 22:55:44 CST 2021","10976","scripts","test_search_setting","Test_Search_Setting","","","test_002[search_test_003-*&^%]",""
